x,y,z
180962,16244.8,6.37541e+06
-157723,16946.3,6.37603e+06
202002,17380,6.37478e+06
-495963,17647.9,6.35866e+06
-136679,18081.6,6.37651e+06
-474974,18783.2,6.36026e+06
342718,19918.5,6.36875e+06
-355432,20186.4,6.36806e+06
4158.02,20620.1,6.37797e+06
363735,21053.8,6.36758e+06
-334413,21321.6,6.36919e+06
25208.1,21755.3,6.37791e+06
384749,22189,6.36635e+06
-313390,22456.9,6.37026e+06
46257.8,22890.6,6.37779e+06
405758,23324.3,6.36504e+06
-292363,23592.2,6.37125e+06
67307,24025.9,6.3776e+06
-271334,24727.5,6.37218e+06
208118,26564.4,6.37455e+06
-130560,27265.9,6.37660e+06
229155,27699.6,6.37382e+06
-468868,27967.5,6.36068e+06
-109513,28401.2,6.377e+06
250190,28834.9,6.37303e+06
-447873,29102.8,6.36219e+06
-88465.8,29536.5,6.37732e+06
271222,29970.2,6.37216e+06
-426872,30238.1,6.36363e+06
-67417.3,30671.8,6.37757e+06
-405866,31373.4,6.365e+06
411862,32508.6,6.3646e+06
73425.6,33210.2,6.37749e+06
432866,33643.9,6.36320e+06
-265218,33911.8,6.37239e+06
94473.7,34345.5,6.37721e+06
453864,34779.2,6.36174e+06
-244184,35047.1,6.37323e+06
115521,35480.8,6.37686e+06
474858,35914.5,6.3602e+06
-223148,36182.4,6.37399e+06
136566,36616.1,6.37643e+06
495846,37049.8,6.35859e+06
-202110,37317.7,6.37469e+06
277334,39154.5,6.37185e+06
-61297.6,39856.1,6.37758e+06
298362,40289.8,6.37089e+06
-399756,40557.7,6.36533e+06
-40248.4,40991.4,6.37774e+06
319387,41425.1,6.36986e+06
